bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	G	ordering	48	823	1	0	0.000
53	G	ordering	49	1683	1	0	0.000
53	G	ordering	50	803	1	0	0.000
53	G	ordering	51	28	1	0	0.000
53	G	ordering	52	25	1	0	0.000
53	G	ordering	53	23	1	0	0.000
53	G	ordering	54	23	1	0	0.000
53	G	ordering	55	23	1	0	0.000
53	G	ordering	56	129	1	0	0.000
53	G	ordering	57	740	1	0	0.000
53	G	ordering	58	179	1	0	0.000
53	G	ordering	59	110	1	0	0.000
53	G	ordering	60	23	1	0	0.000
53	G	ordering	61	23	1	0	0.000
53	G	ordering	62	32	1	0	0.000
53	G	ordering	63	24	1	0	0.000
53	G	ordering	64	25	1	0	0.000
53	G	ordering	65	25	1	0	0.000
53	G	ordering	66	69	1	0	0.000
53	G	ordering	67	303	1	0	0.000
53	G	ordering	68	264	1	0	0.000
53	G	ordering	69	28	1	0	0.000
53	G	ordering	70	46	1	0	0.000
53	G	ordering	71	886	1	0	0.000
53	G	ordering	72	921	1	0	0.000
53	G	ordering	73	925	1	0	0.000
53	G	ordering	74	54	1	0	0.000
53	G	ordering	75	321	1	0	0.000
53	G	ordering	76	929	1	0	0.000
53	G	ordering	77	77	1	0	0.000
53	G	ordering	78	891	1	0	0.000
53	G	ordering	79	1003	1	0	0.000
53	G	ordering	80	38	1	0	0.000
53	G	ordering	81	971	1	0	0.000
53	G	ordering	82	219	1	0	0.000
53	G	ordering	83	712	1	0	0.000
53	G	ordering	84	218	1	0	0.000
53	G	ordering	85	911	1	0	0.000
53	G	ordering	86	886	1	0	0.000
53	G	ordering	87	249	1	0	0.000
53	G	ordering	88	204	1	0	0.000
53	G	ordering	89	70	1	0	0.000
53	G	ordering	90	77	1	0	0.000
53	G	ordering	91	886	1	0	0.000
53	G	ordering	92	671	1	0	0.000
53	G	ordering	93	721	1	0	0.000
53	G	ordering	94	886	1	0	0.000
53	G	ordering	95	205	1	0	0.000
53	G	ordering	96	208	1	0	0.000
53	G	ordering	97	54	1	0	0.000
53	G	ordering	98	914	1	0	0.000
53	G	ordering	99	21	1	0	0.000
53	G	ordering	100	65	1	0	0.000
53	G	ordering	101	76	1	0	0.000
53	G	ordering	102	131	1	0	0.000
53	G	ordering	103	131	1	0	0.000
53	G	ordering	104	23	1	0	0.000
53	G	ordering	105	72	1	0	0.000
53	G	ordering	106	126	1	0	0.000
53	G	ordering	107	30	1	0	0.000
53	G	ordering	108	127	1	0	0.000
53	G	ordering	109	30	1	0	0.000
53	G	ordering	110	45	1	0	0.000
53	G	ordering	111	39	1	0	0.000
53	G	ordering	112	135	1	0	0.000
53	G	ordering	113	39	1	0	0.000
53	G	ordering	114	132	1	0	0.000
53	G	ordering	115	129	1	0	0.000
53	G	ordering	116	30	1	0	0.000
53	G	ordering	117	127	1	0	0.000
53	G	ordering	118	120	1	0	0.000
53	G	ordering	119	127	1	0	0.000
53	G	ordering	120	31	1	0	0.000
53	G	ordering	121	34	1	0	0.000
53	G	ordering	122	2880	1	0	0.000
53	G	ordering	123	137	1	0	0.000
53	G	ordering	124	138	1	0	0.000
53	G	ordering	125	137	1	0	0.000
53	G	ordering	126	134	1	0	0.000
53	G	ordering	127	135	1	0	0.000
53	G	ordering	128	416	1	0	0.000
53	G	ordering	129	29	1	0	0.000
53	G	ordering	130	36	1	0	0.000
53	G	ordering	131	413	1	0	0.000
53	G	ordering	132	136	1	0	0.000
53	G	ordering	133	139	1	0	0.000
53	G	ordering	134	137	1	0	0.000
53	G	ordering	135	137	1	0	0.000
53	G	ordering	136	140	1	0	0.000
53	G	ordering	137	843	1	0	0.000
53	G	ordering	138	47	1	0	0.000
53	G	ordering	139	27	1	0	0.000
53	G	ordering	140	25	1	0	0.000
53	G	ordering	141	2634	1	0	0.000
53	G	ordering	142	2682	1	0	0.000
53	G	ordering	143	2683	1	0	0.000
53	G	ordering	144	4595	1	0	0.000
53	G	ordering	145	3625	1	0	0.000
53	G	ordering	146	2733	1	0	0.000
53	G	ordering	147	3218	1	0	0.000
53	G	ordering	148	2645	1	0	0.000
