key_ordinal	n	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
48	7	P90	7255	0.008257	0.008257	0.016921	0.016921
48	7	P95	7255	0.008257	0.008257	0.016921	0.016921
48	7	P99	7255	0.008257	0.008257	0.016921	0.016921
48	7	P999	7255	0.008257	0.008257	0.016921	0.016921
49	31	P1	5	0.028695	0.028695	0.042344	0.042344
49	31	P50	9	-0.016299	-0.016299	-0.003247	-0.003247
49	31	P75	12	-0.004335	-0.004335	0.008876	0.008876
49	31	P90	14	0.012466	0.012466	-0.017717	-0.017717
49	31	P95	14	0.042219	0.042219	0.011149	0.011149
49	31	P99	17	0.021197	0.021197	0.034747	0.034747
49	31	P999	17	0.021197	0.021197	0.034747	0.034747
50	31	P1	3559	0.001951	0.001951	0.034451	0.034451
50	31	P50	5074	0.001066	0.001066	-0.010403	-0.010403
50	31	P75	5408	0.018163	0.018163	0.006497	0.006497
50	31	P90	5738	0.002216	0.002216	0.012489	0.012489
50	31	P95	5976	0.005030	0.005030	0.037629	0.037629
50	31	P99	8432	0.008329	0.008329	0.041036	0.041036
50	31	P999	8432	0.008329	0.008329	0.041036	0.041036
51	7	P1	1116	0.012468	0.012468	0.020797	0.020797
51	7	P50	1193	0.003604	0.003604	0.011860	0.011860
51	7	P75	1206	0.021960	0.021960	0.030368	0.030368
51	7	P90	11992	0.027755	0.027755	0.036211	0.036211
51	7	P95	11992	0.027755	0.027755	0.036211	0.036211
51	7	P99	11992	0.027755	0.027755	0.036211	0.036211
51	7	P999	11992	0.027755	0.027755	0.036211	0.036211
52	31	P1	4	-0.004931	-0.004931	-0.028232	-0.028232
52	31	P50	5	0.013119	0.013119	0.033326	0.033326
52	31	P75	7	0.011149	0.011149	-0.012528	-0.012528
52	31	P90	11	0.015392	0.015392	0.035645	0.035645
52	31	P95	15	0.009278	0.009278	0.029409	0.029409
52	31	P99	19	0.034084	0.034084	0.009870	0.009870
52	31	P999	19	0.034084	0.034084	0.009870	0.009870
53	31	P1	4059	0.001870	0.001870	0.033291	0.033291
53	31	P50	5026	-0.001834	-0.001834	0.007349	0.007349
53	31	P75	5292	0.011829	0.011829	0.013771	0.013771
53	31	P90	5837	0.007901	0.007901	0.017174	0.017174
53	31	P95	6259	0.003239	0.003239	0.034703	0.034703
53	31	P99	8375	0.016249	0.016249	0.003560	0.003560
53	31	P999	8375	0.016249	0.016249	0.003560	0.003560
54	7	P1	956	0.000787	0.000787	-0.019968	-0.019968
54	7	P50	968	0.021116	0.021116	0.033058	0.033058
54	7	P75	1055	0.000000	0.000000	0.011695	0.011695
54	7	P90	1059	0.018100	0.018100	0.030006	0.030006
54	7	P95	1059	0.018100	0.018100	0.030006	0.030006
54	7	P99	1059	0.018100	0.018100	0.030006	0.030006
54	7	P999	1059	0.018100	0.018100	0.030006	0.030006
55	7	P1	943	0.010433	0.010433	0.015361	0.015361
55	7	P50	967	0.017990	0.017990	0.016310	0.016310
55	7	P75	996	0.021084	0.021084	0.004016	0.004016
55	7	P90	1017	0.021960	0.021960	0.026944	0.026944
55	7	P95	1017	0.021960	0.021960	0.026944	0.026944
55	7	P99	1017	0.021960	0.021960	0.026944	0.026944
55	7	P999	1017	0.021960	0.021960	0.026944	0.026944
56	7	P1	952	0.000880	0.000880	-0.015850	-0.015850
56	7	P50	964	0.032310	0.032310	0.037344	0.037344
56	7	P75	1017	0.021960	0.021960	0.026944	0.026944
56	7	P90	1062	0.022112	0.022112	0.027097	0.027097
56	7	P95	1062	0.022112	0.022112	0.027097	0.027097
56	7	P99	1062	0.022112	0.022112	0.027097	0.027097
56	7	P999	1062	0.022112	0.022112	0.027097	0.027097
57	7	P1	943	-0.013305	-0.013305	-0.017190	-0.017190
57	7	P50	949	0.012930	0.012930	0.008941	0.008941
57	7	P75	978	0.026537	0.026537	0.022495	0.022495
57	7	P90	1026	0.021960	0.021960	0.017936	0.017936
57	7	P95	1026	0.021960	0.021960	0.017936	0.017936
57	7	P99	1026	0.021960	0.021960	0.017936	0.017936
57	7	P999	1026	0.021960	0.021960	0.017936	0.017936
58	7	P1	934	0.006100	0.006100	0.003116	0.003116
58	7	P50	977	0.004526	0.004526	0.008826	0.008826
58	7	P75	1001	0.001973	0.001973	0.020939	0.020939
58	7	P90	1025	0.021960	0.021960	0.018929	0.018929
58	7	P95	1025	0.021960	0.021960	0.018929	0.018929
58	7	P99	1025	0.021960	0.021960	0.018929	0.018929
58	7	P999	1025	0.021960	0.021960	0.018929	0.018929
59	7	P1	934	0.000086	0.000086	-0.004121	-0.004121
59	7	P50	964	0.001056	0.001056	0.037344	0.037344
59	7	P75	1030	0.007267	0.007267	-0.000595	-0.000595
59	7	P90	1044	0.008256	0.008256	0.000386	0.000386
59	7	P95	1044	0.008256	0.008256	0.000386	0.000386
59	7	P99	1044	0.008256	0.008256	0.000386	0.000386
59	7	P999	1044	0.008256	0.008256	0.000386	0.000386
60	7	P1	946	-0.012477	-0.012477	-0.009608	-0.009608
60	7	P50	962	0.021588	0.021588	0.024556	0.024556
60	7	P75	1019	0.000000	0.000000	0.002905	0.002905
60	7	P90	1022	0.018960	0.018960	0.021920	0.021920
60	7	P95	1022	0.018960	0.018960	0.021920	0.021920
60	7	P99	1022	0.018960	0.018960	0.021920	0.021920
60	7	P999	1022	0.018960	0.018960	0.021920	0.021920
61	7	P1	936	-0.008833	-0.008833	-0.009840	-0.009840
61	7	P50	948	0.011033	0.011033	0.010005	0.010005
61	7	P75	1023	0.000000	0.000000	-0.001016	-0.001016
61	7	P90	1044	0.001403	0.001403	0.000386	0.000386
61	7	P95	1044	0.001403	0.001403	0.000386	0.000386
61	7	P99	1044	0.001403	0.001403	0.000386	0.000386
61	7	P999	1044	0.001403	0.001403	0.000386	0.000386
62	7	P1	933	0.004230	0.004230	0.004191	0.004191
62	7	P50	970	0.016145	0.016145	0.016106	0.016106
62	7	P75	1004	0.017928	0.017928	0.017889	0.017889
62	7	P90	1022	0.021960	0.021960	0.021920	0.021920
62	7	P95	1022	0.021960	0.021960	0.021920	0.021920
62	7	P99	1022	0.021960	0.021960	0.021920	0.021920
62	7	P999	1022	0.021960	0.021960	0.021920	0.021920
63	7	P1	942	-0.013440	-0.013440	-0.016147	-0.016147
63	7	P50	952	0.001978	0.001978	0.005762	0.005762
63	7	P75	1027	0.021960	0.021960	0.016945	0.016945
63	7	P90	1054	0.039996	0.039996	0.034892	0.034892
63	7	P95	1054	0.039996	0.039996	0.034892	0.034892
63	7	P99	1054	0.039996	0.039996	0.034892	0.034892
63	7	P999	1054	0.039996	0.039996	0.034892	0.034892
64	7	P1	937	-0.004083	-0.004083	-0.000096	-0.000096
64	7	P50	964	0.000084	0.000084	0.022430	0.022430
64	7	P75	1029	0.021960	0.021960	0.014968	0.014968
64	7	P90	1084	0.013183	0.013183	0.006252	0.006252
64	7	P95	1084	0.013183	0.013183	0.006252	0.006252
64	7	P99	1084	0.013183	0.013183	0.006252	0.006252
64	7	P999	1084	0.013183	0.013183	0.006252	0.006252
65	7	P1	947	0.007425	0.007425	-0.010654	-0.010654
65	7	P50	978	0.007801	0.007801	0.022495	0.022495
65	7	P75	1052	0.021960	0.021960	0.036860	0.036860
65	7	P90	3402	0.021291	0.021291	0.036181	0.036181
65	7	P95	3402	0.021291	0.021291	0.036181	0.036181
65	7	P99	3402	0.021291	0.021291	0.036181	0.036181
65	7	P999	3402	0.021291	0.021291	0.036181	0.036181
66	7	P1	941	0.016563	0.016563	0.017519	0.017519
66	7	P50	986	0.002300	0.002300	0.003243	0.003243
66	7	P75	1021	0.021960	0.021960	0.022921	0.022921
66	7	P90	1082	0.007164	0.007164	0.008112	0.008112
