key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
26	493	P999	52	53.824678	0.035090	53.824678	0.035090	52.117207	0.002254	52.117207	0.002254
27	777	P1	10	9.935240	-0.006476	9.935240	-0.006476	10.067062	0.006706	10.067062	0.006706
27	777	P50	11	11.113846	0.010350	11.113846	0.010350	11.261306	0.023755	11.261306	0.023755
27	777	P75	12	11.918354	-0.006804	11.918354	-0.006804	12.076489	0.006374	12.076489	0.006374
27	777	P90	12	12.210359	0.017530	12.210359	0.017530	12.372368	0.031031	12.372368	0.031031
27	777	P95	13	13.037725	0.002902	13.037725	0.002902	13.210713	0.016209	13.210713	0.016209
27	777	P99	14	14.249358	0.017811	14.249358	0.017811	13.824575	-0.012530	13.824575	-0.012530
27	777	P999	16	16.622283	0.038893	16.622283	0.038893	16.126762	0.007923	16.126762	0.007923
28	601	P1	6	5.793704	-0.034383	5.793704	-0.034383	5.956082	-0.007320	5.956082	-0.007320
28	601	P50	7	7.024676	0.003525	7.024676	0.003525	6.914531	-0.012210	6.914531	-0.012210
28	601	P75	7	7.138907	0.019844	7.138907	0.019844	7.026971	0.003853	7.026971	0.003853
28	601	P90	8	7.981133	-0.002358	7.981133	-0.002358	7.855991	-0.018001	7.855991	-0.018001
28	601	P95	8	8.095005	0.011876	8.095005	0.011876	7.968078	-0.003990	7.968078	-0.003990
28	601	P99	9	9.113680	0.012631	9.113680	0.012631	8.970780	-0.003247	8.970780	-0.003247
28	601	P999	14	14.381592	0.027257	14.381592	0.027257	14.156093	0.011149	14.156093	0.011149
29	357	P1	7	6.877329	-0.017524	6.877329	-0.017524	6.769494	-0.032929	6.769494	-0.032929
29	357	P50	8	7.870945	-0.016132	7.870945	-0.016132	7.747530	-0.031559	7.747530	-0.031559
29	357	P75	8	8.031908	0.003988	8.031908	0.003988	7.905970	-0.011754	7.905970	-0.011754
29	357	P90	8	8.131171	0.016396	8.131171	0.016396	8.003677	0.000460	8.003677	0.000460
29	357	P95	8	8.164531	0.020566	8.164531	0.020566	8.036513	0.004564	8.036513	0.004564
29	357	P99	9	9.204113	0.022679	9.204113	0.022679	9.059795	0.006644	9.059795	0.006644
29	357	P999	9	9.313817	0.034869	9.313817	0.034869	9.167779	0.018642	9.167779	0.018642
30	601	P1	6	5.770128	-0.038312	5.770128	-0.038312	5.950836	-0.008194	5.950836	-0.008194
30	601	P50	7	6.981713	-0.002612	6.981713	-0.002612	6.894243	-0.015108	6.894243	-0.015108
30	601	P75	7	7.101840	0.014549	7.101840	0.014549	7.012865	0.001838	7.012865	0.001838
30	601	P90	8	7.916936	-0.010383	7.916936	-0.010383	7.817750	-0.022781	7.817750	-0.022781
30	601	P95	8	8.050337	0.006292	8.050337	0.006292	7.949479	-0.006315	7.949479	-0.006315
30	601	P99	9	9.019053	0.002117	9.019053	0.002117	8.906058	-0.010438	8.906058	-0.010438
30	601	P999	48	48.386107	0.008044	48.386107	0.008044	49.901455	0.039614	49.901455	0.039614
31	637	P1	7	6.970941	-0.004151	6.970941	-0.004151	6.821148	-0.025550	6.821148	-0.025550
31	637	P50	8	8.101896	0.012737	8.101896	0.012737	7.927800	-0.009025	7.927800	-0.009025
31	637	P75	9	8.995325	-0.000519	8.995325	-0.000519	8.802031	-0.021997	8.802031	-0.021997
31	637	P90	9	9.234403	0.026045	9.234403	0.026045	9.035971	0.003997	9.035971	0.003997
31	637	P95	9	9.315499	0.035055	9.315499	0.035055	9.115325	0.012814	9.115325	0.012814
31	637	P99	10	10.031080	0.003108	10.031080	0.003108	10.251364	0.025136	10.251364	0.025136
31	637	P999	64	66.184260	0.034129	66.184260	0.034129	64.762075	0.011907	64.762075	0.011907
32	694	P1	9	8.824128	-0.019541	8.824128	-0.019541	8.795478	-0.022725	8.795478	-0.022725
32	694	P50	10	9.795394	-0.020461	9.794414	-0.020559	10.197120	0.019712	10.196099	0.019610
32	694	P75	10	9.966508	-0.003349	9.966508	-0.003349	10.375251	0.037525	10.375251	0.037525
32	694	P90	11	11.193601	0.017600	11.193601	0.017600	11.157259	0.014296	11.157259	0.014296
32	694	P95	11	11.429207	0.039019	11.429207	0.039019	11.392100	0.035645	11.392100	0.035645
32	694	P99	12	12.430657	0.035888	12.430657	0.035888	12.390298	0.032525	12.390298	0.032525
32	694	P999	13	13.020266	0.001559	13.020266	0.001559	13.554249	0.042635	13.554249	0.042635
33	601	P1	9	8.982780	-0.001913	8.982780	-0.001913	8.789755	-0.023361	8.789755	-0.023361
33	601	P50	10	9.927853	-0.007215	9.927853	-0.007215	10.145870	0.014587	10.145870	0.014587
33	601	P75	10	10.135381	0.013538	10.135381	0.013538	10.357955	0.035796	10.357955	0.035796
33	601	P90	11	10.876905	-0.011190	10.876905	-0.011190	11.115763	0.010524	11.115763	0.010524
33	601	P95	11	11.084313	0.007665	11.084313	0.007665	11.327726	0.029793	11.327726	0.029793
33	601	P99	12	12.048513	0.004043	12.048513	0.004043	12.313101	0.026092	12.313101	0.026092
33	601	P999	20	20.479566	0.023978	20.479566	0.023978	20.039496	0.001975	20.039496	0.001975
