key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
27	623	P1	1	1.012423	0.012423	1.012423	0.012423	1.038746	0.038746	1.038746	0.038746
27	623	P50	3	2.972055	-0.009315	2.972055	-0.009315	3.049330	0.016443	3.049330	0.016443
27	623	P75	4	3.967698	-0.008076	3.967698	-0.008076	3.897788	-0.025553	3.897788	-0.025553
27	623	P90	4	4.042265	0.010566	4.042265	0.010566	3.971042	-0.007240	3.971042	-0.007240
27	623	P95	4	4.067431	0.016858	4.067431	0.016858	3.995764	-0.001059	3.995764	-0.001059
27	623	P99	4	4.087841	0.021960	4.087841	0.021960	4.015814	0.003953	4.015814	0.003953
27	623	P999	79	81.918265	0.036940	81.918265	0.036940	80.474887	0.018669	80.474887	0.018669
28	623	P1	1	1.010146	0.010146	1.010146	0.010146	1.034368	0.034368	1.034368	0.034368
28	623	P50	3	2.914505	-0.028498	2.914505	-0.028498	2.984390	-0.005203	2.984390	-0.005203
28	623	P75	3	2.996255	-0.001248	2.996255	-0.001248	3.068100	0.022700	3.068100	0.022700
28	623	P90	4	3.997670	-0.000583	3.997670	-0.000583	3.919492	-0.020127	3.919492	-0.020127
28	623	P95	4	4.050804	0.012701	4.050804	0.012701	3.971587	-0.007103	3.971587	-0.007103
28	623	P99	4	4.094169	0.023542	4.094169	0.023542	4.014104	0.003526	4.014104	0.003526
28	623	P999	122	126.740900	0.038860	126.740900	0.038860	124.262367	0.018544	124.262367	0.018544
29	623	P1	1	1.010146	0.010146	1.010146	0.010146	1.034368	0.034368	1.034368	0.034368
29	623	P50	3	2.958289	-0.013904	2.958289	-0.013904	3.029224	0.009741	3.029224	0.009741
29	623	P75	4	3.939921	-0.015020	3.939921	-0.015020	3.862873	-0.034282	3.862873	-0.034282
29	623	P90	4	4.040681	0.010170	4.040681	0.010170	3.961661	-0.009585	3.961661	-0.009585
29	623	P95	4	4.074836	0.018709	4.074836	0.018709	3.995149	-0.001213	3.995149	-0.001213
29	623	P99	6	6.055668	0.009278	6.055668	0.009278	6.200873	0.033479	6.200873	0.033479
29	623	P999	122	126.740900	0.038860	126.740900	0.038860	124.262367	0.018544	124.262367	0.018544
30	623	P1	2	1.996340	-0.001830	1.996340	-0.001830	1.929200	-0.035400	1.929200	-0.035400
30	623	P50	4	3.981153	-0.004712	3.981153	-0.004712	3.847262	-0.038184	3.847262	-0.038184
30	623	P75	4	4.100211	0.025053	4.100211	0.025053	3.962316	-0.009421	3.962316	-0.009421
30	623	P90	5	5.002960	0.000592	5.002960	0.000592	5.049377	0.009875	5.049377	0.009875
30	623	P95	5	5.086840	0.017368	5.086840	0.017368	5.134036	0.026807	5.134036	0.026807
30	623	P99	5	5.155508	0.031102	5.155508	0.031102	5.203341	0.040668	5.203341	0.040668
30	623	P999	75	76.345182	0.017936	76.345182	0.017936	77.053515	0.027380	77.053515	0.027380
31	623	P1	1	0.999675	-0.000325	0.999675	-0.000325	1.025667	0.025667	1.025667	0.025667
31	623	P50	3	2.955199	-0.014934	2.955199	-0.014934	3.032035	0.010678	3.032035	0.010678
31	623	P75	4	3.937846	-0.015538	3.937846	-0.015538	3.868463	-0.032884	3.868463	-0.032884
31	623	P90	4	4.031444	0.007861	4.031444	0.007861	3.960411	-0.009897	3.960411	-0.009897
